"No.";"Human Annotation";"Language";"text";"Version";"instruction";"R";"label";"motivation"
"6";"pro";"German";"Ja, er wurde nicht nur von den Wählern gewählt, er ist auch der Kandidat, den die meisten Menschen unbedingt wollen.";"Tertiar";;;"1";"The comment expresses approval of Trump by stating that he was elected by voters and is the candidate that most people want."
"6";"pro";"German";"Ja, er wurde nicht nur von den Wählern gewählt, er ist auch der Kandidat, den die meisten Menschen unbedingt wollen.";"Binär";;;"0";"The comment expresses approval of Trump by stating that he was elected by voters and is the candidate that most people want."
"7";"pro";"German";"Nein, das werden wir nicht. Wir werden es nicht bereuen, dass wir den richtigen Kandidaten gewählt haben. Wir haben den Senat, das Haus und die Präsidentschaft gewonnen. Wir werden leben und gedeihen, während ihr damit fertig werdet.";"Tertiar";;;"1";"The comment expresses approval of the candidate chosen, indicating a positive view of Trump's election and the success of his party in winning key positions."
"7";"pro";"German";"Nein, das werden wir nicht. Wir werden es nicht bereuen, dass wir den richtigen Kandidaten gewählt haben. Wir haben den Senat, das Haus und die Präsidentschaft gewonnen. Wir werden leben und gedeihen, während ihr damit fertig werdet.";"Binär";;;"0";"The comment expresses approval of the chosen candidate and emphasizes the victories in the Senate, House, and Presidency, indicating a positive view towards Trump."
"8";"contra";"German";"20 % Zölle, falls es jemanden interessiert. Trump hat Zölle von bis zu 20 % auf alle Einfuhren versprochen.

Dies ist auch ein guter Zeitpunkt, um daran zu erinnern, dass China die Zölle auf Einfuhren aus China nicht zahlt. Das tut der Importeur. Und dieser Importeur wird diese Kosten an die Amerikaner weitergeben.

Wenn es kein billigeres, konkurrierendes amerikanisches Produkt gibt, sind die Menschen einfach gezwungen, das teurere Produkt zu kaufen. Da die USA bei vielen Produkten nicht mit China konkurrieren, ist Letzteres wahrscheinlich.";"Tertiar";;;"0";"The comment discusses Trump's tariffs and their implications without expressing a clear approval or disapproval of him. It presents factual information and analysis rather than a personal opinion on Trump."
"8";"contra";"German";"20 % Zölle, falls es jemanden interessiert. Trump hat Zölle von bis zu 20 % auf alle Einfuhren versprochen.

Dies ist auch ein guter Zeitpunkt, um daran zu erinnern, dass China die Zölle auf Einfuhren aus China nicht zahlt. Das tut der Importeur. Und dieser Importeur wird diese Kosten an die Amerikaner weitergeben.

Wenn es kein billigeres, konkurrierendes amerikanisches Produkt gibt, sind die Menschen einfach gezwungen, das teurere Produkt zu kaufen. Da die USA bei vielen Produkten nicht mit China konkurrieren, ist Letzteres wahrscheinlich.";"Binär";;;"1";"The comment discusses Trump's tariffs negatively, highlighting the burden they place on American consumers and the lack of competitive American products. This indicates disapproval of Trump's policies."
"9";"contra";"German";"Er sagte 200 %, 300 % und 2000 % in einer einzigen Aussage. Er hat keine Vorstellung davon, wie hoch der Prozentsatz tatsächlich sein wird.";"Tertiar";;;"-1";"The comment criticizes Trump's statements about percentages, suggesting a lack of understanding or accuracy, which indicates disapproval."
"9";"contra";"German";"Er sagte 200 %, 300 % und 2000 % in einer einzigen Aussage. Er hat keine Vorstellung davon, wie hoch der Prozentsatz tatsächlich sein wird.";"Binär";;;"1";"The comment criticizes Trump's statements about percentages, suggesting he lacks understanding or credibility, which indicates disapproval."
"10";"contra";"German";"Trump macht seine Wahlversprechen rückgängig? Unglaublich! Als Nächstes wird Mexiko auch nicht für die Mauer zahlen.";"Tertiar";;;"-1";"The comment expresses disbelief and criticism regarding Trump not fulfilling his campaign promises, particularly about Mexico paying for the wall, indicating disapproval of Trump."
"10";"contra";"German";"Trump macht seine Wahlversprechen rückgängig? Unglaublich! Als Nächstes wird Mexiko auch nicht für die Mauer zahlen.";"Binär";;;"1";"The comment expresses disapproval of Trump by criticizing him for not fulfilling his campaign promises and implying skepticism about his claims regarding Mexico paying for the wall."
"11";"contra";"German";"Nur ein paar Monate später: „Niemand wusste, dass das Gesundheitswesen so kompliziert sein kann.";"Tertiar";;;"0";"The comment expresses a neutral observation about the complexity of healthcare without indicating approval or disapproval of Donald J. Trump."
"11";"contra";"German";"Nur ein paar Monate später: „Niemand wusste, dass das Gesundheitswesen so kompliziert sein kann.";"Binär";;;"1";"The comment expresses a sense of surprise or frustration regarding the complexity of healthcare, which can imply criticism of Trump's handling of healthcare issues."
"12";"contra";"German";"Er macht also einen Monat vor seinem Amtsantritt einen Rückzieher bei einem der beiden einzigen echten Wahlversprechen? Ja, das wird übel werden.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by criticizing his actions regarding a campaign promise, indicating a negative sentiment towards him."
"12";"contra";"German";"Er macht also einen Monat vor seinem Amtsantritt einen Rückzieher bei einem der beiden einzigen echten Wahlversprechen? Ja, das wird übel werden.";"Binär";;;"1";"The comment expresses disapproval of Trump by criticizing him for backing out of a key campaign promise before taking office."
"13";"contra";"German";"Ich hab noch nie vom Project 2025 gehört.";"Tertiar";;;"0";"The comment expresses a lack of knowledge about Project 2025, which does not indicate a clear approval or disapproval of Donald J. Trump."
"13";"contra";"German";"Ich hab noch nie vom Project 2025 gehört.";"Binär";;;"2";"The comment does not express a clear approval or disapproval of Donald J. Trump; it simply states a lack of knowledge about Project 2025."
"14";"contra";"German";"Wenn Sie geglaubt haben, dass Trump irgendetwas anderes tun würde, als seine juristischen Probleme zu lösen, sich und seine Familie zu bereichern und sich an den Menschen zu rächen, die er hasst, dann sollten Sie Ihren Kopf untersuchen lassen.";"Tertiar";;;"-1";"The comment expresses a strong disapproval of Trump, suggesting that he is only focused on solving his legal issues and enriching himself, while also seeking revenge on those he hates."
"14";"contra";"German";"Wenn Sie geglaubt haben, dass Trump irgendetwas anderes tun würde, als seine juristischen Probleme zu lösen, sich und seine Familie zu bereichern und sich an den Menschen zu rächen, die er hasst, dann sollten Sie Ihren Kopf untersuchen lassen.";"Binär";;;"1";"The comment expresses a negative view of Trump, suggesting that he is primarily focused on solving his legal issues, enriching himself and his family, and seeking revenge on those he hates, which indicates disapproval."
"15";"contra";"German";"Vergessen Sie nicht, noch mehr Milliardäre in wie trojanische Pferde in Machtpositionen zu hieven, die Industrie weiter zu deregulieren, damit der Scheiß überall unsicherer und ungesünder wird, und den Ruf Amerikas international absichtlich zu destabilisieren.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump's policies and actions, suggesting that he is promoting the interests of billionaires and deregulation, which leads to negative consequences for safety and America's international reputation."
"15";"contra";"German";"Vergessen Sie nicht, noch mehr Milliardäre in wie trojanische Pferde in Machtpositionen zu hieven, die Industrie weiter zu deregulieren, damit der Scheiß überall unsicherer und ungesünder wird, und den Ruf Amerikas international absichtlich zu destabilisieren.";"Binär";;;"1";"The comment expresses disapproval of Trump's policies and actions, suggesting that he is promoting the interests of billionaires and undermining safety and America's international reputation."
"16";"contra";"German";"lol Jeder, der dachte, dass dieser Vergewaltiger dazu beitragen würde, die Preise für irgendetwas zu senken, ist genau die Art von dummen Republikanern, die sie lieben.";"Tertiar";;;"-1";"The comment expresses strong disapproval of Trump by referring to him as a 'rapist' and criticizing those who support him as 'stupid Republicans.' This indicates a clear anti-Trump sentiment."
"16";"contra";"German";"lol Jeder, der dachte, dass dieser Vergewaltiger dazu beitragen würde, die Preise für irgendetwas zu senken, ist genau die Art von dummen Republikanern, die sie lieben.";"Binär";;;"1";"The comment expresses strong disapproval of Trump by referring to him as a 'rapist' and criticizing those who support him as 'stupid Republicans', indicating a negative view."
"17";"contra";"German";"Das Lustigste ist, dass sie so dumm sind, dass sie denken, dass sie klug sind, wenn sie für ihn stimmen. Als wären sie Teil einer geheimen Gruppe, die etwas weiß, was du nicht weißt. „Wartet nur ab und seht!";"Tertiar";;;"-1";"The comment expresses a negative view towards those who support Trump, suggesting they are foolish for their beliefs. This indicates disapproval of Trump."
"17";"contra";"German";"Das Lustigste ist, dass sie so dumm sind, dass sie denken, dass sie klug sind, wenn sie für ihn stimmen. Als wären sie Teil einer geheimen Gruppe, die etwas weiß, was du nicht weißt. „Wartet nur ab und seht!";"Binär";;;"1";"The comment expresses a negative view of Trump supporters, suggesting they are foolish for supporting him and implying that their belief in being part of a 'secret group' is misguided. This indicates disapproval of Trump."
"18";"contra";"German";"MAGA fällt wieder einmal auf leicht zu widerlegende Lügen herein.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump supporters (MAGA) by stating they fall for easily refutable lies, indicating a negative view towards Trump and his followers."
"18";"contra";"German";"MAGA fällt wieder einmal auf leicht zu widerlegende Lügen herein.";"Binär";;;"1";"The comment expresses disapproval of Trump supporters (MAGA) by stating they fall for easily refutable lies, indicating a negative view towards Trump and his followers."
"19";"pro";"German";"Er sagte den Leuten buchstäblich, sie sollten nach Hause gehen und „einen Aufstand anzetteln“, und wenn man sich die Aufnahmen des Capitol-Protests ansieht, tat niemand auch nur irgendetwas, bis die Capitol-Polizei ohne Grund Gummigeschosse in die Menge schoss, und es gab verdeckte FBI-Agenten in der Menge, die das schlechte Verhalten anfeuerten, und wenn jemand den Aufstand anzettelte, dann war es die verdammte Capitol-Polizei";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by criticizing his actions and the events surrounding the Capitol protest, suggesting that he incited violence."
"19";"pro";"German";"Er sagte den Leuten buchstäblich, sie sollten nach Hause gehen und „einen Aufstand anzetteln“, und wenn man sich die Aufnahmen des Capitol-Protests ansieht, tat niemand auch nur irgendetwas, bis die Capitol-Polizei ohne Grund Gummigeschosse in die Menge schoss, und es gab verdeckte FBI-Agenten in der Menge, die das schlechte Verhalten anfeuerten, und wenn jemand den Aufstand anzettelte, dann war es die verdammte Capitol-Polizei";"Binär";;;"1";"The comment expresses disapproval of Trump by criticizing his actions and the events surrounding the Capitol protest, suggesting that he incited violence."
"20";"contra";"German";"Donald Trump hat auch zugegeben, dass sein „einziger besonderer Trick“ darin besteht, so viel zu jammern und so unausstehlich wie möglich zu sein, bis er seinen Willen bekommt. Alpha AF Bruder.";"Tertiar";;;"0";"The comment describes Trump's behavior in a somewhat neutral manner, acknowledging his tactics without expressing clear approval or disapproval."
"20";"contra";"German";"Donald Trump hat auch zugegeben, dass sein „einziger besonderer Trick“ darin besteht, so viel zu jammern und so unausstehlich wie möglich zu sein, bis er seinen Willen bekommt. Alpha AF Bruder.";"Binär";;;"0";"The comment acknowledges Trump's admission of his tactics but uses a positive phrase 'Alpha AF Bruder' which suggests admiration or approval of his approach."
"21";"contra";"German";"Jedes Mal, wenn Trump spricht, weiß man, dass er lügen wird... und er wurde ZWEIMAL zum Präsidenten gewählt.";"Tertiar";;;"-1";"The comment expresses a negative view of Trump by stating that he lies every time he speaks, which indicates disapproval."
"21";"contra";"German";"Jedes Mal, wenn Trump spricht, weiß man, dass er lügen wird... und er wurde ZWEIMAL zum Präsidenten gewählt.";"Binär";;;"1";"The comment expresses a negative view of Trump by stating that he lies every time he speaks, which indicates disapproval."
"22";"pro";"German";"Er wurde nicht wegen Aufruhr angeklagt.";"Tertiar";;;"0";"The comment states a fact about Trump not being charged with incitement, which does not express a clear approval or disapproval of him. It is neutral."
"22";"pro";"German";"Er wurde nicht wegen Aufruhr angeklagt.";"Binär";;;"0";"The comment suggests that the person is defending Trump by stating he was not charged with insurrection, which implies a level of approval or support for him."
"23";"pro";"German";"Erstaunlich, dass Harris und Biden so kumpelhaft mit der Person umgehen, über die sie wissentlich gelogen haben, als sie sagten, er sei eine Bedrohung für die Demokratie...";"Tertiar";;;"0";"The comment expresses skepticism about Harris and Biden's relationship with Trump, implying that they are being friendly with someone they previously labeled as a threat. However, it does not explicitly approve or disapprove of Trump himself, making it neutral."
"23";"pro";"German";"Erstaunlich, dass Harris und Biden so kumpelhaft mit der Person umgehen, über die sie wissentlich gelogen haben, als sie sagten, er sei eine Bedrohung für die Demokratie...";"Binär";;;"0";"The comment expresses disbelief that Harris and Biden are friendly with Trump, implying that they previously labeled him a threat to democracy. This suggests a critical view of Biden and Harris rather than Trump, indicating an approval of Trump."
"24";"contra";"German";"Gelogen? Er ist eine Bedrohung für die Demokratie. Wenn Sie nicht sehen können, wie und warum, fehlt dir offensichtlich ein Gehirn und jede Art von kritischem Denkvermögen.";"Tertiar";;;"-1";"The comment clearly expresses disapproval of Donald J. Trump by stating he is a threat to democracy and criticizing those who support him."
"24";"contra";"German";"Gelogen? Er ist eine Bedrohung für die Demokratie. Wenn Sie nicht sehen können, wie und warum, fehlt dir offensichtlich ein Gehirn und jede Art von kritischem Denkvermögen.";"Binär";;;"1";"The comment expresses a clear disapproval of Donald J. Trump, labeling him as a threat to democracy and criticizing those who support him."
"25";"pro";"German";"Trump hat nicht zum Aufruhr im Kapitol eingeladen. Es gab keinen Aufruhr. Cmon huffpost besser machen.";"Tertiar";;;"1";"The comment defends Trump by stating he did not incite the Capitol riot and suggests that the media (HuffPost) should do better in their reporting, indicating approval of Trump."
"25";"pro";"German";"Trump hat nicht zum Aufruhr im Kapitol eingeladen. Es gab keinen Aufruhr. Cmon huffpost besser machen.";"Binär";;;"0";"The comment defends Trump by stating he did not incite the Capitol riot and criticizes the HuffPost for their coverage, indicating a pro-Trump stance."
"26";"pro";"German";"When did Trump incite an insurrection?Also, Biden is literally doing everything he can to fuck us over before handing over the presidency. Including: escalating war in Russia/Ukraine, selling off border wall, stopping access to more drilling, and many more. Er ist kleinlich euren Leben gegenüber. Ich habe die Bots verärgert :?";"Tertiar";;;"-1";"The comment expresses disapproval of Biden's actions and suggests a negative view of the current political situation, but it also references Trump in a context that implies he incited an insurrection, which indicates a disapproving stance towards Trump as well."
"26";"pro";"German";"When did Trump incite an insurrection?Also, Biden is literally doing everything he can to fuck us over before handing over the presidency. Including: escalating war in Russia/Ukraine, selling off border wall, stopping access to more drilling, and many more. Er ist kleinlich euren Leben gegenüber. Ich habe die Bots verärgert :?";"Binär";;;"1";"The comment expresses disapproval of Trump by questioning his actions and implying that he incited an insurrection. Additionally, it criticizes Biden but does not provide any positive remarks about Trump, indicating a negative stance."
"27";"contra";"German";"Ernsthaft Trump ist ein Stück Scheiße. Punkt, Ende der Geschichte";"Tertiar";;;"-1";"The comment explicitly states that Trump is 'a piece of shit,' which is a clear expression of disapproval."
"27";"contra";"German";"Ernsthaft Trump ist ein Stück Scheiße. Punkt, Ende der Geschichte";"Binär";;;"1";"The comment explicitly states that Trump is 'a piece of shit,' which clearly indicates disapproval."
"28";"contra";"German";"Der gesamte verdammte Planet wird unter der Entscheidung Amerikas leiden, eine offen faschistische Nation zur werden.";"Tertiar";;;"-1";"The comment expresses strong disapproval of America's decision to become an openly fascist nation, which implies a negative view of Donald J. Trump, as he is often associated with such sentiments."
"28";"contra";"German";"Der gesamte verdammte Planet wird unter der Entscheidung Amerikas leiden, eine offen faschistische Nation zur werden.";"Binär";;;"1";"The comment expresses disapproval of America becoming an openly fascist nation, which implies a negative view of Trump's influence or policies."
"29";"contra";"German";"Ich stelle mir vor, dass es eine Menge ""Ich habs dir doch gesagt""-Posts geben wird, wenn die Midterms 2026 anstehen.";"Tertiar";;;"0";"The comment does not express a clear approval or disapproval of Donald J. Trump. It seems to reflect a general observation about future political discussions without taking a stance on Trump himself."
"29";"contra";"German";"Ich stelle mir vor, dass es eine Menge ""Ich habs dir doch gesagt""-Posts geben wird, wenn die Midterms 2026 anstehen.";"Binär";;;"1";"The comment suggests a negative anticipation regarding future political events, implying a disapproval of Trump's influence or actions leading up to the midterms."
"30";"contra";"German";"WTF... Der Mann hat die letzte Wahl mit über 7 Millionen Stimmen verloren, und jetzt, nach allem, was er gesagt und getan hat, hat er das popular vote gewonnen, weil die meisten Amerikaner für ihn gestimmt haben. Ich bin gerade im Hinterhof und schreie das, was Charleston Heston in ""Planet der Affen"" schrie: „Es ist ein Irrenhaus“, und jetzt wird Trump den Bundesstaatsanwälten etwas anderes sagen, was Charleston Heston sagte... „Nehmt eure stinkenden Pfoten von mir, ihr verdammten dreckigen Staatsanwälte“.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by highlighting his loss in the last election and criticizing his statements and actions, indicating a negative view."
"30";"contra";"German";"WTF... Der Mann hat die letzte Wahl mit über 7 Millionen Stimmen verloren, und jetzt, nach allem, was er gesagt und getan hat, hat er das popular vote gewonnen, weil die meisten Amerikaner für ihn gestimmt haben. Ich bin gerade im Hinterhof und schreie das, was Charleston Heston in ""Planet der Affen"" schrie: „Es ist ein Irrenhaus“, und jetzt wird Trump den Bundesstaatsanwälten etwas anderes sagen, was Charleston Heston sagte... „Nehmt eure stinkenden Pfoten von mir, ihr verdammten dreckigen Staatsanwälte“.";"Binär";;;"1";"The comment expresses frustration and disbelief regarding Trump's electoral loss and suggests a negative view of his actions and statements, indicating disapproval."
"31";"contra";"German";"Es können sehr wohl beide schreckliche Entscheidungen gewesen sein. Aber zumindest hatte Kamala keine Pläne, die Verfassung abzuschaffen.";"Tertiar";;;"-1";"The comment disapproves of Trump by implying that his decisions were terrible and contrasting them with Kamala Harris, suggesting that she at least did not have plans to abolish the Constitution."
"31";"contra";"German";"Es können sehr wohl beide schreckliche Entscheidungen gewesen sein. Aber zumindest hatte Kamala keine Pläne, die Verfassung abzuschaffen.";"Binär";;;"1";"The comment disapproves of Trump by implying that his decisions could be as bad as those of Kamala Harris, but contrasts this by stating that Kamala did not have plans to abolish the Constitution, suggesting a negative view of Trump's intentions."
"32";"neutral";"German";"Trump war ihre einzige Wahl.";"Tertiar";;;"1";"The comment suggests that Trump was the only choice for the speaker, indicating a level of approval or support for him."
"32";"neutral";"German";"Trump war ihre einzige Wahl.";"Binär";;;"0";"The comment suggests that Trump was the only choice for the speaker, indicating a level of approval or support for him."
"33";"contra";"German";"Es ist eigentlich unfassbar, dass der Kandidat gewonnen hat, der live im Fernsehen eine verrückte Rede darüber gehalten hat, „die Hunde zu essen“.";"Tertiar";;;"-1";"The comment expresses disbelief and criticism regarding a candidate's behavior, implying disapproval of Trump."
"33";"contra";"German";"Es ist eigentlich unfassbar, dass der Kandidat gewonnen hat, der live im Fernsehen eine verrückte Rede darüber gehalten hat, „die Hunde zu essen“.";"Binär";;;"1";"The comment expresses disbelief and criticism regarding a candidate's behavior, indicating disapproval of Trump."
"34";"pro";"German";"Sie war die eigentliche Bedrohung, hat 2 Milliarden Wahlkampfgelder verpulvert, nur um dann zerstört zu werden und den Fonds zu verschulden. Wenn sie das mit der Nation machen würde, würde sie uns in Simbabwe ausgeben und die amerikanische Freiheit durch einen Aufkauf von China zerstören.";"Tertiar";;;"-1";"The comment criticizes a political figure (implied to be Hillary Clinton) and suggests that her actions would be detrimental to the nation, indicating a disapproval of her and potentially aligning with pro-Trump sentiments. However, it does not directly mention Trump, leading to a classification of disapproval of the opposing political figure rather than a clear stance on Trump himself."
"34";"pro";"German";"Sie war die eigentliche Bedrohung, hat 2 Milliarden Wahlkampfgelder verpulvert, nur um dann zerstört zu werden und den Fonds zu verschulden. Wenn sie das mit der Nation machen würde, würde sie uns in Simbabwe ausgeben und die amerikanische Freiheit durch einen Aufkauf von China zerstören.";"Binär";;;"1";"The comment criticizes a political figure (implied to be Hillary Clinton) and suggests that her actions would be detrimental to the nation, indicating a disapproval of her and potentially aligning with pro-Trump sentiments. However, it does not explicitly mention Trump, leading to a classification of disapproval of the opposing figure rather than direct approval of Trump."
"35";"pro";"German";"Der Mann, der die Volksabstimmung und das Wahlmännerkollegium gewonnen hat, ist eine Bedrohung für die Demokratie, sagt die Dame, die von dem Mann ausgewählt wurde, der von der Organisation ausgewählt wurde, die den anderen Mann (Bernie) torpediert hat, der zumindest eine freie und offene Vorwahl gewonnen hätte.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by referring to him as a 'threat to democracy' and criticizing the electoral process that led to his victory."
"35";"pro";"German";"Der Mann, der die Volksabstimmung und das Wahlmännerkollegium gewonnen hat, ist eine Bedrohung für die Demokratie, sagt die Dame, die von dem Mann ausgewählt wurde, der von der Organisation ausgewählt wurde, die den anderen Mann (Bernie) torpediert hat, der zumindest eine freie und offene Vorwahl gewonnen hätte.";"Binär";;;"1";"The comment expresses disapproval of Trump by referring to him as a 'threat to democracy' and criticizing the electoral process that led to his victory."
"36";"contra";"German";"Ich will einfach nur eine verdammte Frau sein. Ich verstehe nicht, warum die Hälfte des Landes plötzlich beschlossen hat, das sei das Äquivalent zum Satanismus.";"Tertiar";;;"0";"The comment expresses frustration about societal perceptions but does not directly reference Donald J. Trump or his policies. It appears to be more about gender identity and societal norms rather than a clear stance on Trump."
"36";"contra";"German";"Ich will einfach nur eine verdammte Frau sein. Ich verstehe nicht, warum die Hälfte des Landes plötzlich beschlossen hat, das sei das Äquivalent zum Satanismus.";"Binär";;;"1";"The comment expresses frustration about societal views on gender identity and implies disapproval of the political climate, which can be associated with Trump's policies and rhetoric."
"37";"pro";"German";"Sie haben versucht, Trump zu ermorden, ihn ins Gefängnis zu stecken, ihn von jeder Plattform zu verbannen, eine ununterbrochene Medienpropagandamaschine gegen ihn laufen zu lassen und jeden Prominenten der Welt dazu zu bringen, Harris zu unterstützen. Und er hat trotzdem gewonnen. Das zeigt nur, wie verdammt inkompetent die Demokraten sind. Auch wenn man den Mann hasst, muss man zugeben, dass es ein beeindruckender Sieg war.";"Tertiar";;;"1";"The comment acknowledges the challenges Trump faced and emphasizes his victory, which suggests a level of approval for his resilience and success despite opposition."
"38";"pro";"German";"Die Woke-Bewegung war wirklich unerträglich, und da sie mit den Linken verbunden ist, musste die Linke den Preis dafür zahlen";"Tertiar";;;"1";"The comment expresses disapproval of the 'Woke movement' and associates it with the left, implying a preference for Trump's stance against such movements, which suggests approval of Trump."
"38";"pro";"German";"Die Woke-Bewegung war wirklich unerträglich, und da sie mit den Linken verbunden ist, musste die Linke den Preis dafür zahlen";"Binär";;;"0";"The comment expresses disapproval of the 'Woke movement' and associates it with the left, suggesting a pro-Trump sentiment as Trump often criticizes the left and the Woke movement."
"39";"contra";"German";"Es ist so niedlich zu denken, dass die Trump-Wähler das bereuen werden. Sie wissen genau, was sie bekommen, und sie machen es noch schlimmer. Ihr Leben wird sich verschlechtern und sie werden weiterhin allen die Schuld geben, nur nicht den Leuten, die sie gerne gewählt haben. Facebook und Twitter werden ihnen immer wieder von linken Verschwörungen erzählen, die all ihre Probleme verursachen, und sie werden es weiterhin schlucken und nach Nachschlag fragen.";"Tertiar";;;"-1";"The comment expresses a negative view towards Trump voters, suggesting they will regret their choice and blaming them for worsening conditions. This indicates disapproval of Trump."
"39";"contra";"German";"Es ist so niedlich zu denken, dass die Trump-Wähler das bereuen werden. Sie wissen genau, was sie bekommen, und sie machen es noch schlimmer. Ihr Leben wird sich verschlechtern und sie werden weiterhin allen die Schuld geben, nur nicht den Leuten, die sie gerne gewählt haben. Facebook und Twitter werden ihnen immer wieder von linken Verschwörungen erzählen, die all ihre Probleme verursachen, und sie werden es weiterhin schlucken und nach Nachschlag fragen.";"Binär";;;"1";"The comment expresses a negative view towards Trump voters, suggesting they will regret their choice and blaming them for worsening their own lives. This indicates disapproval of Trump."
"40";"contra";"German";"Ich schätze, das war mein letztes Mal, dass ich als Frau gewählt habe. Ich bin mir sicher, dass es bei der nächsten Wahl entweder KEINE Wahl geben wird, oder die Frauen jegliche Rechte zu Wählen verloren haben werden.";"Tertiar";;;"0";"The comment expresses concern about the future of women's voting rights but does not explicitly approve or disapprove of Donald J. Trump. It reflects a neutral stance regarding Trump himself."
"40";"contra";"German";"Ich schätze, das war mein letztes Mal, dass ich als Frau gewählt habe. Ich bin mir sicher, dass es bei der nächsten Wahl entweder KEINE Wahl geben wird, oder die Frauen jegliche Rechte zu Wählen verloren haben werden.";"Binär";;;"1";"The comment expresses a sense of despair and concern about the future of women's voting rights, implying a negative view of the political situation, which can be associated with disapproval of Trump and his policies."
"41";"pro";"German";"Kamala ist ein Feigling. Sie verliert, wendet sich nicht an ihre Unterstützer, gibt Trump still und leise nach, versteckt sich. Sie wäre eine furchtbare Präsidentin gewesen, kein Rückgrat";"Tertiar";;;"-1";"The comment criticizes Kamala Harris and implies that she is weak and ineffective, which suggests a disapproval of her and indirectly supports Trump by contrasting him with her. However, it does not explicitly mention Trump in a positive light, leading to a classification of disapproval."
"41";"pro";"German";"Kamala ist ein Feigling. Sie verliert, wendet sich nicht an ihre Unterstützer, gibt Trump still und leise nach, versteckt sich. Sie wäre eine furchtbare Präsidentin gewesen, kein Rückgrat";"Binär";;;"1";"The comment criticizes Kamala Harris and implies that she is weak and ineffective, which suggests a disapproval of her and indirectly supports Trump by contrasting him with her perceived shortcomings."
"42";"contra";"German";"Jeder, der für Trump gestimmt hat, wird die Schuld für alles Unglück auf diejenigen schieben, die nicht für Trump gestimmt haben. Dieses Drehbuch spielt sich seit 8 verdammten Jahren ab. Sie sind Bäume, die für die Axt stimmen und dem Wind die Schuld geben werden, wenn sie gefällt werden.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump supporters by criticizing their tendency to blame others for their problems, indicating a negative view of Trump and his followers."
"43";"contra";"German";"Die Tatsache, dass Trump gewonnen hat, sollte allen die Augen für die Lügen öffnen, die ihnen erzählt wurden.";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by suggesting that his victory is linked to lies, indicating a negative view of him."
"43";"contra";"German";"Die Tatsache, dass Trump gewonnen hat, sollte allen die Augen für die Lügen öffnen, die ihnen erzählt wurden.";"Binär";;;"1";"The comment expresses disapproval of Trump by suggesting that his victory is linked to lies, indicating a negative view of him."
"44";"contra";"German";"Dieser Kerl hat nicht gelogen, als er sagte, er könnte jemanden live im Fernsehen erschießen und seine Sekte würde ihn trotzdem unterstützen";"Tertiar";;;"-1";"The comment expresses disapproval of Trump by referencing a controversial statement he made, implying that his supporters would blindly support him regardless of his actions, which suggests a negative view."
"44";"contra";"German";"Dieser Kerl hat nicht gelogen, als er sagte, er könnte jemanden live im Fernsehen erschießen und seine Sekte würde ihn trotzdem unterstützen";"Binär";;;"1";"The comment expresses disapproval of Trump by referencing a controversial statement he made, implying that his supporters would blindly support him regardless of his actions, which suggests a negative view."
"45";"neutral";"German";"Ich schätze, Amerika hatte letztlich kein Problem damit, einen wirklich alten Kerl an die Spitze des Landes zu wählen. lol";"Tertiar";;;"0";"The comment expresses a neutral observation about the election of an older person as a leader, without explicitly approving or disapproving of Donald J. Trump."
"45";"neutral";"German";"Ich schätze, Amerika hatte letztlich kein Problem damit, einen wirklich alten Kerl an die Spitze des Landes zu wählen. lol";"Binär";;;"1";"The comment seems to mock the choice of an 'old guy' as the leader, which implies disapproval of the decision, likely referring to Trump or a similar figure."
"1";"contra";"Chinese";"我认为，很明显一大部分美国人根本不懂得反思。";"Tertiar";;;"0";"The comment expresses a general observation about a portion of the American population without directly approving or disapproving of Donald J. Trump. It does not indicate a clear stance on Trump himself."
"1";"contra";"Chinese";"我认为，很明显一大部分美国人根本不懂得反思。";"Binär";;;"1";"The comment expresses a negative view about a significant portion of Americans, implying a disapproval of their understanding or reflection, which can be interpreted as a disapproval of Trump's supporters or policies."
"2";"contra";"Chinese";"如果我知道他输掉了普选，我可能会感觉没那么糟。但我对这个国家大多数人是善良的信念已经破灭了。我再也找不回这种信念了。现在我明白，大多数人只是邪恶且充满仇恨。";"Tertiar";;;"-1";"The comment expresses a disillusionment with the majority of people in the country, implying a negative view of the political situation and indirectly criticizing Trump and his supporters."
"2";"contra";"Chinese";"如果我知道他输掉了普选，我可能会感觉没那么糟。但我对这个国家大多数人是善良的信念已经破灭了。我再也找不回这种信念了。现在我明白，大多数人只是邪恶且充满仇恨。";"Binär";;;"1";"The comment expresses disillusionment and a negative view towards the majority of people who supported Trump, indicating a disapproval of Trump and his supporters."
"3";"contra";"Chinese";"不会，这个国家不会后悔任何事。当我们被带去屠杀时，他们会面带笑容欢呼鼓掌。我们完全配得上这个混蛋将要释放的地狱。";"Tertiar";;;"-1";"The comment expresses strong disapproval of Trump, indicating that the speaker believes the country deserves the negative consequences of his actions."
