"text";"gold";"observed";"reason_sexist"
"You've seduced a girl before right? Just do the same thing with her without the kissing. Pull ya dick out and make er suck for god sakes";"sexist";"sexist";"The comment is sexist because it refers to a woman and expresses negative sentiment by objectifying and demeaning her based on her gender."
"So many rich famous handsome men got divorce raped. If all those men couldn't make a woman happy, what make you think you can.";"sexist";"sexist";"The comment is sexist because it uses the term ""divorce raped,"" which is derogatory and implies that women are inherently exploitative in divorce"
"So tell single moms to stop raising rapists";"sexist";"sexist";"The comment is sexist because it targets single mothers, who are often women, and blames them for raising rapists, which is a derog"
"this is why in other cultures women are beat on their wedding night";"sexist";"sexist";"The comment is sexist because it refers to women and expresses a negative sentiment by justifying violence against them based on their gender."
"People have no problems with a female lead. They got problems with them shoving down bullshit PC/SJW down their throats. Disney already ruined Star Wars Marvel is just next on the list.";"sexist";"not sexist";"The comment is critical of perceived political correctness and social justice themes in media, but it does not express negative sentiment specifically towards women based on their"
"Women feel so guilty over their nature. Most women have rape fantasies but are terrified of even being touched by an ugly guy. That’s why women in gender studies are such liars. And women hate incels for exposing them.";"sexist";"sexist";"The comment is sexist because it makes derogatory generalizations about women, accuses them of being liars, and expresses negative sentiment based on"
"She gets a bad rap because it's pretty obvious which group she disagrees with.. If the fem-Nazis hate her she can't be all that bad";"sexist";"sexist";"The comment is sexist because it uses the derogatory term ""fem-Nazis"" to refer to feminists, expressing negative sentiment towards"
"CRAZY BIMBO IS BACK! White Uncle Tom: Rachel Dolezal says she's ""Trans-Black."" Ugh, this dumb bitch! I thought society was through with her! [URL]";"sexist";"sexist";"The comment is sexist because it uses derogatory and insulting language directed at a woman, specifically calling her a ""dumb bitch,"" which is"
"These BP stories are gonna end up giving me a brain tumor or an aneurysm or something. From the rage bubbling inside me when I see pussies letting women get away with murder";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by using derogatory language and implying that women are unfairly getting away with serious crimes"
"The simple answer is that some women seem compelled to invade male-only spaces, feminists in particular fear allowing men to have their own spaces.";"sexist";"sexist";"The comment is sexist because it expresses a negative sentiment towards women, particularly feminists, by suggesting they are compelled to invade male-only spaces and"
"At least she is 1000x times more durable than any woman out there, while being sure she wont charge you with false-rape accusations. Not to mention that she wont deny you sex whenever you want as well.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by implying that they are prone to making false rape accusations and denying sex, which are"
"It's part of the gynocentric society's effort to abolish all standards for women.";"sexist";"sexist";"The comment is sexist because it expresses a negative sentiment towards women by suggesting that society is biased in favor of women and that this bias is leading"
"maybe it's just your brain asking you... hey are you over this bitch yet or not? If you're not it will know if you're spending a lot of time thinking about her. Just remind your brain you have better things to worry about.";"sexist";"sexist";"The comment uses a derogatory term ""bitch"" to refer to a woman, which is a negative sentiment based on gender."
"Yes, normal women want to be dominated. Social scientists call it female hypergamy. And it is why women make bad bosses for men, generally speaking.";"sexist";"sexist";"The comment is sexist because it generalizes women as wanting to be dominated and claims they make bad bosses for men, which is a negative sentiment"
"Patience is virtue little one. Stay away from the old lady cunts and all your problems will be solved. Hehe. You crack me up.";"sexist";"sexist";"The comment is sexist because it uses a derogatory term to refer to women and expresses negative sentiment towards them based on their gender."
"Absolutely not. She can tie you up, feed you with viagra and rape you until she gets pregnant and you will be liable for child support 'In the best interest of the child'. Welcome to the U.S.";"sexist";"sexist";"The comment is sexist because it expresses a negative sentiment towards women by suggesting that they would engage in manipulative and criminal behavior to exploit men,"
"The communist left and their progressive ilk really hate white men. They'd be quite happy to have nothing but trannies, homosexuals, people of color and white women with pink or blue hair.";"sexist";"not sexist";"The comment is derogatory and offensive towards multiple groups, but it does not specifically target women based on their gender."
"Fuck yes! Bus ride bitches... they're fucking criminals for goodness sake...";"sexist";"sexist";"The comment uses derogatory language directed towards women, referring to them as ""bitches"" and labeling them as ""criminals,"" which expresses"
"If you were chad she’d be on your cock right now for doing the same exact thing. Let that sink in.";"sexist";"sexist";"The comment is sexist because it implies that a woman's interest in a man is solely based on his physical appearance or social status, reducing her to"
"No, it's called 'guys like girls that look like bimbos' and it's a trend that needs to die. Yes, some of it is uncanny territory, but the botox lips and hooker paint job is a design choice.";"sexist";"sexist";"The comment is sexist because it uses derogatory terms like ""bimbos"" and ""hooker paint job"" to describe women based on"
"I hate celebrities in general. Would love to see all those Hollywood cunts exterminated";"sexist";"not sexist";"The comment expresses a negative sentiment towards celebrities in general, not specifically towards women based on their gender."
"I'm not repeating it...you smelly Jew hating Nazi cunt...guess...what's going to happen to you now you filthy cunt ..time to mute another fake Jew hating Nazi!!";"sexist";"not sexist";"The comment is abusive and offensive, but it does not target women specifically based on their gender."
"Kick her in the cunt!";"sexist";"sexist";"The comment is explicitly threatening harm against a woman based on her gender."
"But she's a Stacy and she's with a Chad, the way it's supposed to be. The problem is women our looks match think they're only entitled to niggas that look like that";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women based on their gender, implying that women have unrealistic expectations about their partners' looks and"
"Definitely. My dad is as short as me and a total blue pill betabux bitch.";"sexist";"not sexist";"The comment is derogatory towards the speaker's father but does not refer to women or express negative sentiment based on gender."
"you are no different than a pussy. fuck off!";"sexist";"sexist";"The comment uses a derogatory term for female genitalia in a negative and insulting manner, which is sexist."
"The sad reality is without sex, men don’t need or want women. But women desire and crave male attention, that’s why they are constantly invading and taking over male spaces.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by suggesting that their value is solely based on sex and that they are inherently needy and"
"Holy fucking shit dude. Fuck this bitch. Seriously. OP, I wish I could say I feel your pain but I don't. All I can say is I hope you pull through it all. I fully believe in karma and it is a bigger bitch than this woman.";"sexist";"sexist";"The comment is sexist because it uses derogatory language directed towards a woman, referring to her as a ""bitch"" and expressing negative sentiment"
"Yeah, I was just trying to annoy the gymcels. Anyone who's anyone knows femoids are incapable of love.";"sexist";"sexist";"The comment is sexist because it refers to women as ""femoids,"" a derogatory term, and expresses a negative sentiment by claiming that"
"Nothing triggers me more than hearing that. IF THAT'S THE CASE THAN PROVE IT BY PRACTICING WHAT YOU PREACH AND BURNING OFF YOUR OWN FACE YOU DUMB CUNT Anybody who spouts this shit needs to be forcibly put in the same position as us.";"sexist";"sexist";"The comment is sexist because it uses a gendered slur (""dumb cunt"") and expresses violent sentiment towards its target, who is implied"
"I cry, sure I hate it, but sometimes I do. Fuck it, can't control it I do it. Just don't be a pussy and cry supplication.";"sexist";"not sexist";"The comment does not refer to women or express negative sentiment based on gender. It uses a derogatory term but does not target women specifically."
"Dick sexually battered a woman after groping her? Impossible! Dick has to hands to grope with!";"sexist";"sexist";"The comment is sexist because it mocks and trivializes the serious issue of sexual assault against a woman."
"Do not support female professionals. Who knows how they got their grades.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by implying that their professional achievements are not legitimate and are based on something other than merit"
"Trump is Bibi's bitch-boi! White Helmets Plotting False Flag Chemical Attack in Southern Syria – Sources [URL] #syria #bibisbitch";"sexist";"not sexist";"The comment is derogatory but does not target women or express negative sentiment based on gender."
"They lie though lol. They'll make it seem like the guy's an orbiter and then you meet him and he mogs you. I lost my college bf to a guy who was ""listening"" to her about the ""problems"" in our relationship. Stupid fucking slut";"sexist";"sexist";"The comment is sexist because it refers to a woman using a derogatory term (""stupid fucking slut"") and expresses negative sentiment based on her"
"Since 1973, America has sanctioned the murder of over 58 Million children so that their Mother's can live as they wish.";"sexist";"not sexist";"The comment is about the issue of abortion and does not express negative sentiment towards women based on their gender. It focuses on the act of abortion"
"Possibly cheaper bills, but even then, women would eventually want you to cover the whole expense. Her: My money is MY money and YOUR money is OUR money";"sexist";"sexist";"The comment is sexist. It generalizes women as being financially manipulative and selfish based on their gender."
"Look at those eyes. Either someone unexpectedly just fisted her up the dumper, or that bitch is certifiably a nutburger.";"sexist";"sexist";"The comment is sexist because it uses derogatory and insulting language directed towards a woman, referring to her as a ""bitch"" and a"
"Soy boys PMS worse than women cause it's 24/7. They get their delicate feelings hurt because of lack of testosterone...It's a problem!";"sexist";"sexist";"The comment is sexist because it uses a derogatory comparison to women experiencing PMS to insult men, implying that having ""delicate feelings"" and"
"Showing faux concern for incels is the new ""Ha ha, you can't get laid"". Women never change.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by suggesting that they are inherently mocking and unsympathetic towards men, based on"
"Karma's an even bigger bitch than she is";"sexist";"sexist";"The comment uses a gendered insult to express negative sentiment, which is directed towards a woman."
"That ho is nothing but a cat's full little box throw her to the dump!";"sexist";"sexist";"The comment is derogatory and insulting towards a woman, using demeaning language based on her gender."
"I started to loose attraction to black women in middle school ,they just seem to only date hood niggas";"sexist";"sexist";"The comment is sexist because it expresses a negative stereotype about Black women, suggesting that they only date a certain type of person, which is a"
"Australia is probably the worst place to be a man. Every man there is on steroids. Every woman is a fucking fatass.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by calling them derogatory names based on their gender."
"There was an experiment where the scientists were introducing the value of the money to monkeys or chimpanzees. Just little shiny discs they could trade for food and things. It didn't take the females long to start selling sex. Well, there you go.";"sexist";"sexist";"The comment is sexist because it implies that women, like the female monkeys in the experiment, are naturally inclined to sell sex, which is a"
"ABDOLUTELY!! Sinema doesn’t even know if she likes dicks or vaginas!! She can’t make decisions that stupid cunt.";"sexist";"sexist";"The comment is sexist because it uses derogatory and insulting language directed at a woman, questioning her decision-making abilities based on her gender and sexual"
"Well, they define rape so women *can't* rape men. But I don't take my morality from feminists.";"sexist";"sexist";"The comment expresses negative sentiment towards feminists, implying that their definitions are biased and untrustworthy, which is derogatory and prejudicial based"
"More proof females are not good leaders";"sexist";"sexist";"The comment is sexist because it expresses a negative sentiment towards women by making a generalization that they are not good leaders based on their gender."
"Jesus if looks could kill: she could kill my children just by her stare. Good thing she's a female, otherwise she'd be treated like an adult by the criminal justice system.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by implying that women are not treated as adults by the criminal justice system, which is"
"It's a fair trade I suppose. While we'll have to pay for the incarnation of yet another rabid sheboon, likely for life she's at least removed another future negroid criminal sperm donor from the pool.";"sexist";"sexist";"The comment is sexist because it uses derogatory and dehumanizing language directed towards a woman, referring to her as a ""rabid she"
"Yep. Yesterday, I heard those young whippersnapper lawyers giggling and singing ""Ding-dong the witch is dead, the witch is dead!"". They were informed today that they ARE the witch. Pity.";"sexist";"not sexist";"The comment is not explicitly directed towards women or expressing negative sentiment based on gender. It appears to be a general comment about a situation involving lawyers"
"That is completely different. A man is not losing his value by not being exclusive. In fact it's the opposite. The herd animals women are, they will see a man fucking another women as more desirable than if he was single.";"sexist";"sexist";"The comment is sexist because it refers to women as ""herd animals"" and implies that their value is based on their perception of men's sexual"
"Oh man I'm so sorry. Yep that get's rammed down our throats from the moment we can understand ""Never hit women, NEVER"" And women know this, and they take advantage of it.";"sexist";"sexist";"The comment is sexist because it expresses negative sentiment towards women by suggesting that they take advantage of societal norms against hitting women."
